Chromosome Name	Gene Start (bp)	Gene End (bp)	Associated Gene Name
15	34260921	34357291	CHRM5
6	31707797	31732628	MSH5-SAPCD1
8	18027986	18081198	NAT1
HSCHR6_MHC_APD	31555632	31557434	TNF
19	44529494	44537265	ZNF222
X	122993574	123047829	XIAP
11	111779289	111794446	CRYAB
15	34376218	34394149	EMC7
10	45466429	45474258	C10orf10
17	73028670	73061984	KCTD2
HSCHR6_MHC_APD	31559653	31561620	LTB
17	73314157	73401790	GRB2
4	25749055	25865382	SEL1L3
3	9791628	9829903	OGG1
10	95717948	95721297	PIPSL
17	66863433	66951533	ABCA8
7	112063023	112121072	IFRD1
11	65337901	65341413	SSSCA1
17	61780192	61819330	STRADA
3	177990720	178562217	KCNMB2
15	59951345	59981733	BNIP2
19	44529506	44591471	ZNF223
22	30972612	31003070	PES1
3	129366635	129612419	TMCC1
5	128430444	128449721	ISOC1
19	44555520	44572144	ZNF223
11	65339820	65341669	FAM89B
7	76940068	77045717	GSAP
6	16129356	16148479	MYLIP
16	68392231	68482591	SMPD3
1	52254863	52344477	NRD1
14	35451163	35498773	SRP54
HG7_PATCH	142378492	142378952	TRBV21-1
11	111783460	111797595	HSPB2-C11orf52
22	19833661	19842419	C22orf29
9	26947037	27062928	IFT74
15	66797297	66842115	ZWILCH
4	174305852	174327531	SCRG1
6	167342992	167370679	RNASET2
19	48281829	48287943	SEPW1
2	64068074	64118696	UGP2
2	153574407	153617767	ARL6IP6
HSCHR6_MHC_APD	31565222	31568007	LST1
11	5528530	5531215	UBQLN3
19	55912652	55919145	UBE2S
11	2421718	2425106	TSSC4
11	65343509	65360121	EHBP1L1
2	45168902	45173216	SIX3
6	41873092	41888877	MED20
4	174446120	174451380	HAND2
18	55711599	56068772	NEDD4L
8	18248755	18258728	NAT2
5	132211071	132299326	AFF4
16	1494935	1525581	CLCN7
2	69688532	69901481	AAK1
12	57522276	57607134	LRP1
17	36508111	36556019	SOCS7
21	40556102	40693485	BRWD1
18	29409136	29533099	TRAPPC8
1	150782181	150849244	ARNT
6	33384219	33386094	CUTA
5	158690089	158713044	UBLCP1
17	48620419	48633213	SPATA20
5	112768251	112770728	TSSK1B
2	45232300	45236569	SIX2
2	218990012	219001976	CXCR2
19	44598492	44612479	ZNF224
6	16238811	16295780	GMPR
19	55964352	55973710	ISOC2
2	122095352	122407163	CLASP1
10	127477146	127511817	UROS
6	26087509	26098571	HFE
17	8130191	8151362	CTC1
11	66824289	66839484	RHOD
19	19386827	19431653	SUGP1
3	43328004	43466256	SNRK
2	74776153	74784681	DOK1
6	52866077	52926600	ICK
HSCHR6_MHC_SSTO	32127544	32146625	PPT2
5	21882694	21884421	HSPD1P1
5	112849380	112930982	YTHDC2
8	94710789	94743755	FAM92A1
6	24495080	24537435	ALDH5A1
16	30064411	30081778	ALDOA
2	219027568	219031718	CXCR1
3	178735011	178790067	ZMAT3
8	18384811	18942240	PSD3
3	13857755	13921618	WNT7A
22	31002825	31023265	TCN2
2	26915619	26956288	KCNK3
8	144656955	144660819	NAPRT1
6	107473761	107780768	PDSS2
17	72199721	72206794	RPL38
15	60296421	60353929	FOXB1
6	31733367	31745108	VWA7
3	137906109	138017231	ARMC8
3	158363611	158390482	LXN
11	111797868	111893308	DIXDC1
12	56512034	56538455	ESYT1
HSCHR6_MHC_APD	31567993	31572083	NCR3
11	60869867	60895324	CD5
2	219081817	219119079	ARPC2
14	21467414	21470030	SLC39A2
20	47240790	47444420	PREX1
2	45615819	45839304	SRBD1
2	105858200	105859924	GPR45
9	26993134	27005691	LRRC19
2	26987152	27004099	SLC35F6
6	167412670	167466201	FGFR1OP
11	66886740	67025558	KDM2A
7	38374642	38375115	TRGV7
12	45566847	45609824	PLEKHA8P1
13	38210773	38444562	TRPC4
GL000223.1	42781	68787	ZNF84
12	132379196	132407712	ULK1
3	41900842	41901086	ATP6V0E1P2
3	9799026	9811676	CAMK1
2	178077291	178088686	HNRNPA3
17	33738079	33760302	SLFN12
GL000223.1	93511	119608	ZNF26
12	113736564	113797298	SLC8B1
2	105880871	105946491	TGFBRAP1
5	158741791	158757895	IL12B
20	459116	524465	CSNK2A1
17	49230920	49249108	NME1-NME2
2	154333852	154335322	RPRM
19	48322703	48346587	CRX
12	112277571	112280706	MAPKAPK5-AS1
10	26727132	26856732	APBB1IP
5	82373317	82649606	XRCC4
4	75669969	75719896	BTC
5	159343790	159399551	ADRA1B
11	60897728	60929089	VPS37C
9	27109139	27230173	TEK
3	43396351	43733086	ANO10
5	135364584	135399507	TGFBI
14	65213002	65346601	SPTB
10	103605356	103815950	C10orf76
10	30301729	30404423	KIAA1462
5	31639517	32111037	PDZD2
19	41197434	41224112	ADCK4
4	75858305	75975325	PARM1
3	158414681	158450485	RARRES1
5	159436120	159492550	TTC1
14	99947506	100001381	CCNK
19	44616334	44637027	ZNF225
2	182537815	182545603	NEUROD1
X	77526961	77583048	CYSLTR1
19	48373723	48389654	SULT2A1
15	66994566	67074338	SMAD6
HSCHR6_MHC_APD	31735723	31742275	MSH5
1	24742284	24799466	NIPAL3
1	207925402	207968858	CD46
16	1543345	1560458	TELO2
HG388_HG400_PATCH	111657010	111750144	ALG9
17	73034958	73043080	ATP5H
7	99699172	99707968	AP4M1
19	44645710	44663156	ZNF234
15	34432875	34502297	KATNBL1
4	111538579	111563279	PITX2
2	26987157	27023935	CENPA
10	71907045	71930279	SAR1A
10	118305443	118327367	PNLIP
17	46147414	46178883	CBX1
19	48497908	48528410	ELSPBP1
3	183205319	183273477	KLHL6
X	19552093	19905719	SH3KBP1
X	52235228	52243954	XAGE1B
6	46965440	47010099	GPR110
2	3192696	3381653	TSSC1
6	107811162	107981357	SOBP
20	9495005	9511171	LAMP5
3	9821544	9834695	TADA3
4	76404247	76439974	RCHY1
6	10747992	10852986	TMEM14B
11	13513602	13517728	PTH
X	78003206	78012591	LPAR4
6	167525295	167553184	CCR6
22	19863040	19929341	TXNRD2
14	99977603	100070363	CCDC85C
5	95049226	95160087	RHOBTB3
5	142657496	142815077	NR3C1
22	31089769	31303811	OSBP2
HG388_HG400_PATCH	111749658	111756698	C11orf1
2	182756560	182795465	SSFA2
17	44668035	44834830	NSF
19	44669226	44682534	ZNF226
2	114647537	114720173	ACTR3
3	178865902	178957881	PIK3CA
HSCHR17_4_CTG4	39017555	39023462	KRT12
11	111895538	111935114	DLAT
17	34842473	34855154	ZNHIT3
HSCHR17_4_CTG4	39032193	39041479	KRT20
HSCHR6_MHC_APD	31737296	31743982	MSH5-SAPCD1
15	67356101	67487533	SMAD3
X	78200829	78217451	P2RY10
3	115342171	115440337	GAP43
HSCHR6_MHC_COX	33161393	33165893	RPS18
2	231067826	231223762	SP140
8	19171128	19253729	SH2D4A
6	167569759	167571817	GPR31
11	67033881	67054027	ADRBK1
1	52373628	52456436	RAB3B
2	97001525	97039583	NCAPH
17	37894180	37903544	GRB7
5	130494720	130507428	HINT1
12	55341802	55378530	TESPA1
7	148395006	148498128	CUL1
11	2465914	2870339	KCNQ1
7	43622357	43666385	STK17A
HG388_HG400_PATCH	111779288	111794445	CRYAB
6	167684657	167729507	UNC93A
Y	22737611	22755040	EIF1AY
7	150750899	150755617	CDK5
9	27325207	27529779	MOB3B
12	8373856	8380214	FAM90A1
12	120427673	120532298	CCDC64
2	105953816	105965668	C2orf49
17	18574259	18576186	FOXO3B
19	48533210	48547310	CABP5
12	50451331	50477394	ASIC1
12	112597992	112819896	HECTD4
4	175411328	175444305	HPGD
16	1560428	1662111	IFT140
3	9834179	9849410	ARPC4
HSCHR6_MHC_DBB	31120050	31125719	TCF19
17	49230951	49249105	NME2
X	78615881	78623164	ITM2A
1	24829387	24867530	RCAN3
20	47538427	47653230	ARFGEF2
6	41888926	41900784	BYSL
HSCHR6_MHC_APD	31744721	31756461	VWA7
21	40714241	40721573	HMGN1
6	35541362	35696360	FKBP5
6	43597277	43608689	MAD2L1BP
13	38923986	38937140	UFM1
16	68670092	68756519	CDH3
1	52485803	52521843	TXNDC12
19	41223008	41246765	ITPKC
Y	25569246	25569383	SNORA70
6	16299343	16761722	ATXN1
Y	9578193	9596085	TTTY2
10	77157588	77161664	ZNF503
10	118349897	118368687	PNLIPRP1
10	45495923	45500774	ZNF22
19	48551100	48614074	PLA2G4C
18	29598335	29653176	RNF125
10	89622870	89731687	PTEN
HSCHR6_MHC_DBB	29523343	29527656	UBD
2	74881355	74909186	SEMA4F
17	79617489	79630142	PDE6G
3	158449987	158547508	MFSD1
6	167770521	167797998	TCP10
19	56102746	56113336	FIZ1
7	121038506	121038821	CYCSP19
HSCHR6_MHC_DBB	31120916	31132215	POU5F1
19	41246761	41257458	C19orf54
HSCHR6_MHC_DBB	29555643	29556705	OR2H2
3	133292574	133309105	CDV3
10	135043778	135045062	UTF1
20	9518036	9819689	PAK7
6	28109688	28127250	ZKSCAN8
12	8685901	8693559	CLEC4E
8	19261672	19615540	CSGALNACT1
10	135050908	135055433	VENTX
HSCHR6_MHC_SSTO	32139229	32142928	EGFL8
2	73481810	73511559	FBXO41
18	29671818	29711524	RNF138
11	60989688	61018929	PGA4
22	31321117	31364284	MORC2
11	5640994	5665628	TRIM34
17	40724333	40729849	PSMC3IP
HSCHR6_MHC_DBB	33139275	33146375	RXRB
2	105974169	106054970	FHL2
1	52497775	52499488	KTI12
2	198669426	199437305	PLCL1
HSCHR6_MHC_APD	31756648	31775083	VARS
Y	9590765	9611898	TTTY1
12	56843286	56862950	MIP
12	132413745	132428406	PUS1
12	77252495	77272840	CSRP2
5	36606457	36688436	SLC1A3
3	50388126	50395891	CYB561D2
2	113531492	113542167	IL1A
16	29630106	29647649	CA5AP1
7	43648055	43769316	COA1
3	9834766	9877085	ARPC4-TTLL3
1	24958207	24999758	SRRM1
10	135075907	135090372	ADAM8
3	115521235	117716095	LSAMP
17	73747675	73761792	GALK1
1	52521797	52556388	BTF3L4
9	131445703	131458679	SET
20	9966774	10037410	ANKEF1
19	44711700	44741421	ZNF227
HSCHR6_MHC_COX	33166523	33168208	B3GALT4
7	138391040	138484305	ATP6V0A4
19	19431490	19469563	MAU2
7	74112305	74306731	STAG3L2
22	19929130	19957498	COMT
14	73957669	73960096	C14orf169
5	102421704	102455855	GIN1
17	79632066	79633665	OXLD1
HSCHR6_MHC_COX	33168491	33178914	WDR46
9	32384618	32454767	ACO1
3	183353356	183402265	KLHL24
12	8754762	8765467	AICDA
HSCHR6_MHC_QBL	30657119	30675200	MDC1
21	40752170	40800454	WRB
5	159488808	159546430	PWWP2A
6	28192664	28201260	ZSCAN9
10	26986588	27035727	PDSS1
17	79633394	79640934	CCDC137
10	71962586	71993667	PPA1
11	14299472	14386052	RRAS2
2	178092323	178257425	NFE2L2
16	1578689	1605581	TMEM204
11	924894	1012239	AP2A2
1	208057594	208084747	CD34
15	102161847	102192594	TM2D3
13	39584003	39612252	PROSER1
19	56111388	56114504	ZNF524
17	73083822	73102257	SLC16A5
5	159614374	159665742	FABP6
3	178957530	178984790	KCNMB3
15	67493371	67547533	AAGAB
19	42734338	42746777	GSK3A
19	56132108	56135967	ZNF784
1	52608046	52812358	ZFYVE9
19	8959520	9092018	MUC16
12	56864736	56882198	GLS2
HSCHR6_MHC_COX	32097222	32100578	AGER
11	5684425	5959849	TRIM5
3	133317019	133380737	TOPBP1
19	56146382	56154835	ZNF580
1	150898739	150937213	SETDB1
17	73772515	73781974	H3F3B
14	35554673	35591723	PPP2R3C
3	169490619	169507504	MYNN
HSCHR6_MHC_APD	31776526	31786115	LSM2
3	129693148	129696781	TRH
6	31745295	31763730	VARS
3	9849770	9896822	TTLL3
5	82767284	82878122	VCAN
10	97889472	97965044	ZNF518A
HSCHR6_MHC_COX	31685771	31694945	CLIC1
2	31456880	31492313	EHD3
3	50392180	50397041	TMEM115
17	27400528	27507430	MYO18A
GL000193.1	175230	175324	SNORA70
17	8150936	8173809	PFAS
HSCHR6_MHC_SSTO	32142859	32152743	AGPAT1
2	97202480	97218375	ARID5A
8	144661867	144681711	EEF1D
17	41017939	41026386	AOC4P
11	111944810	111955874	C11orf57
19	56152428	56164527	CCDC106
14	77972340	78083116	SPTLC2
HSCHR6_MHC_APD	31788760	31794206	HSPA1L
22	31460091	31500743	SMTN
9	131464802	131483197	PKN3
2	219128850	219134980	AAMP
6	108188960	108279393	SEC63
2	31747550	31806136	SRD5A2
16	68771128	68869451	CDH1
11	2904443	2907111	CDKN1C
HSCHR6_MHC_DBB	29624714	29640106	MOG
HSCHR6_MHC_COX	31499694	31502076	ATP6V1G2
5	95087023	95158709	GLRX
2	113587328	113594480	IL1B
HSCHR6_MHC_APD	31794605	31797087	HSPA1A
17	73437240	73496171	KIAA0195
6	37600284	37667082	MDGA1
12	77415027	77459360	E2F7
6	28212401	28227011	ZKSCAN4
17	49254786	49337524	MBTD1
4	175558065	175750465	GLRA3
HSCHR6_MHC_APD	31806879	31809393	HSPA1B
HSCHR6_MHC_DBB	30611130	30631079	DHX16
1	1246965	1260071	CPSF3L
20	10199478	10288066	SNAP25
1	208195587	208417665	PLXNA2
7	77166592	77269388	PTPN12
2	31557187	31637581	XDH
5	39284364	39424970	C9
11	111955524	111957522	TIMM8B
HSCHR6_MHC_APD	31813742	31818898	C6orf48
X	123094062	123556514	STAG2
6	41902671	42018095	CCND3
19	48618702	48673860	LIG1
11	2909010	2924970	SLC22A18AS
13	39917029	40177665	LHFP
HG79_PATCH	136335502	136346383	CACFD1
3	66429221	66551687	LRIG1
7	142206511	142207011	TRBV10-2
9	32455300	32526322	DDX58
10	7830092	7849778	ATP5C1
10	123716603	123734732	NSMCE4A
11	111957497	111990353	SDHD
2	25016005	25045245	CENPO
1	52811395	52831865	CC2D1B
19	9361606	9362820	OR7E24
HSCHR6_MHC_QBL	30677512	30682738	TUBB
6	168227602	168372703	MLLT4
10	103825147	103827792	HPS6
19	42751724	42759309	ERF
19	44732882	44809199	ZNF235
16	1728257	1752281	HN1L
19	41256542	41271294	SNRPA
15	60639333	60695082	ANXA2
10	50222290	50323554	VSTM4
10	30598730	30663377	MTPAP
10	95517566	95557916	LGI1
HSCHR6_MHC_APD	31836794	31842041	NEU1
10	103867317	103880210	LDB1
17	34851477	34899284	MYO19
6	24544332	24646383	KIAA0319
HSCHR19_1_CTG3	21112510	21139919	ZNF85
9	131483148	131486406	ZDHHC12
11	111957627	112064528	SDHD
10	34398488	35104253	PARD3
21	40817781	40887433	SH3BGR
12	132434508	132565005	EP400
6	52916789	52965671	FBXO9
10	82031576	82049440	MAT1A
11	2920951	2946476	SLC22A18
22	19957419	20004331	ARVCF
12	111051832	111087235	TCTN1
2	32426669	32429068	DDX50P1
7	43798279	43846939	BLVRA
7	112402437	112430647	TMEM168
20	47662849	47713489	CSE1L
19	56165512	56186081	U2AF2
16	30205213	30215631	SLX1A-SULT1A3
15	34525460	34630261	SLC12A6
HSCHR19_1_CTG3	21209842	21223406	ZNF430
19	19496635	19619740	GATAD2A
12	121837844	121868389	RNF34
17	25783670	25953461	KSR1
5	159678659	159772403	CCNJL
15	67547138	67794598	IQCH
19	44830708	44871377	ZNF112
21	40928369	41045064	B3GALT5
15	43015757	43029324	CDAN1
5	132332677	132362296	ZCCHC10
9	131492065	131534693	ZER1
17	41277627	41305688	NBR2
17	33901814	33905882	PEX12
1	25071848	25170815	CLIC4
X	20142636	20159962	EIF1AX
7	148504475	148581413	EZH2
3	43731605	43775863	ABHD5
12	88886570	88974628	KITLG
2	190526111	190535557	ASNSD1
2	172964167	172967628	DLX2
HSCHR6_MHC_APD	31842327	31858180	SLC44A4
16	1756184	1820318	MAPK8IP3
16	30087299	30096698	PPP4C
9	32540542	32552551	TOPORS
17	46180719	46200436	SNX11
7	44066550	44081491	RASA4CP
2	75061108	75120486	HK2
11	5710919	5758319	TRIM22
8	41510739	41754280	ANK1
5	102455853	102548500	PPIP5K2
21	41239243	41301322	PCP4
13	41129804	41240734	FOXO1
6	47199268	47277641	TNFRSF21
1	209757062	209787283	CAMK1G
2	231191899	231268447	SP140L
11	14464986	14521573	COPB1
9	32552997	32573160	NDUFB6
6	76458909	76629254	MYO6
6	28292470	28324048	ZSCAN31
17	4534197	4545589	ALOX15
19	41277553	41283395	MIA
13	41303432	41345309	MRPS31
5	113696642	113832337	KCNN2
HSCHR6_MHC_SSTO	32153001	32155440	RNF5
2	155554811	155714863	KCNJ3
4	175750819	175899331	ADAM29
10	92500578	92617671	HTR7
4	331603	378653	ZNF141
17	18872102	18908117	FAM83G
10	45869661	45941561	ALOX5
19	42772689	42799949	CIC
9	131549483	131572711	TBC1D13
HG79_PATCH	136346630	136354672	SLC2A6
5	95220802	95297775	ELL2
2	25042038	25142708	ADCY3
10	72007085	72043432	NPFFR1
6	43639040	43655528	MRPS18A
2	202241930	202316302	TRAK2
X	20168029	20285523	RPS6KA3
1	52838501	52870131	ORC1
19	41284121	41302847	RAB4B
1	150933059	150947479	CERS2
3	9908398	9921938	CIDEC
21	41382926	42219065	DSCAM
7	43915493	43966010	URGCP
10	90033621	90344287	RNLS
1	209788215	209825811	LAMB3
22	31518717	31530682	INPP5J
3	133464800	133497850	TF
14	78138747	78174363	ALKBH1
2	157180944	157198860	NR4A2
14	100150641	100193638	CYP46A1
15	43030932	43213007	TTBK2
19	9434850	9493293	ZNF559-ZNF177
3	179040779	179053323	ZNF639
4	176554085	176923815	GPM6A
HSCHR17_4_CTG4	39078948	39093886	KRT23
12	55413729	55423798	NEUROD4
Y	23673258	23711212	RBMY1A1
20	10381657	10414870	MKKS
3	9932238	9936033	JAGN1
13	41506056	41635576	ELF1
17	49337889	49375297	UTP18
17	18923986	18950950	GRAP
2	69871557	70053596	ANXA4
2	27193480	27250064	MAPRE3
14	78174414	78227447	SLIRP
2	204103663	204163009	CYP20A1
17	73106047	73126360	ARMC7
3	183415606	183530413	YEATS2
2	73518058	73520833	EGR4
2	178257372	178408564	AGPS
1	52870236	52886511	PRPF38A
9	131580753	131584956	ENDOG
X	153656978	153664862	ATP6AP1
11	1012821	1036706	MUC6
5	39371780	39462402	DAB2
19	19626545	19644285	NDUFA13
12	120532899	120555306	RAB35
2	200134223	200335989	SATB2
1	209848765	209849733	G0S2
13	41635410	41658137	WBP4
9	131581930	131592100	C9orf114
16	30097114	30103208	TBX6
4	492989	533985	PIGG
11	14515329	14665181	PSMA1
19	56186592	56221224	EPN1
6	47445525	47594999	CD2AP
9	32972604	33025166	APTX
2	97258907	97308524	KANSL3
1	209859510	209908295	HSD11B1
17	26904588	26926297	SPAG5
20	10618332	10654694	JAG1
12	50478755	50494495	SMARCD1
16	1820287	1821731	NME3
19	44979854	45004576	ZNF180
6	168396921	168445769	KIF25
HSCHR6_MHC_QBL	30685021	30700042	FLOT1
5	70196492	70214357	SERF1A
7	74306894	74366314	PMS2P5
7	142428484	142428984	TRBV28
X	21392536	21672813	CNKSR2
3	50400233	50541675	CACNA2D2
6	37787275	38122400	ZFAND3
HSCHR6_MHC_COX	31502098	31514044	NFKBIL1
2	173292082	173371181	ITGA6
17	4574679	4607632	PELP1
HSCHR6_MHC_APD	31858893	31876828	EHMT2
7	142457319	142460923	PRSS1
18	29704840	30050447	GAREM
22	31530795	31536593	PLA2G3
HSCHR6_MHC_DBB	33146132	33150126	SLC39A7
8	94741584	94753245	RBM12B
2	73612886	73837920	ALMS1
HG306_PATCH	112831997	113149158	NCAM1
21	42539728	42654445	BACE2
3	186263862	186288332	TBCCD1
19	41304901	41314338	EGLN2
22	31556168	31603005	RNF185
4	113066553	113116412	C4orf32
8	94752349	94753001	RBM12B-AS1
10	127512115	127542264	BCCIP
6	168456425	168482237	FRMD1
16	1821891	1823156	MRPS34
5	132387654	132442141	HSPA4
20	47729878	47804904	STAU1
18	29765032	29800367	MEP1B
4	113152893	113191203	AP1AR
17	79650356	79670168	HGS
9	131595221	131644773	CCBL1
1	209929377	209955668	TRAF3IP3
5	135468534	135524435	SMAD5
5	114460459	114516243	TRIM36
11	112013974	112034840	IL18
5	143191726	143200284	HMHB1
20	11871371	11907257	BTBD3
2	231280657	231408805	SP100
1	150954493	150968110	ANXA9
2	111271389	111334762	RGPD6
5	95726119	95769847	PCSK1
1	52873954	53019159	ZCCHC11
14	102968013	102968116	RNU6-244P
7	112718386	112727833	GPR85
5	143537723	143550278	YIPF5
HSCHR6_MHC_SSTO	32155615	32158971	AGER
17	37921198	38020441	IKZF3
19	45147098	45166850	PVR
HSCHR6_MHC_COX	31695130	31720011	MSH5-SAPCD1
13	41790505	41837742	MTRF1
11	112038095	112043282	TEX12
17	73126320	73127890	NT5C
HSCHR6_MHC_COX	31527243	31529513	LTA
11	67070919	67080078	SSH3
7	150754297	150773614	SLC4A2
6	52991762	53013627	GCM1
12	78224685	78606790	NAV3
19	9523272	9546254	ZNF266
10	45950035	46090354	MARCH8
17	33905065	34053436	AP2B1
7	142552792	142568847	EPHB6
22	31608225	31676066	LIMK2
20	584441	591042	TCF15
16	69165194	69265033	CIRH1A
16	1826713	1843701	SPSB3
6	135604670	135818914	AHI1
11	1074875	1104419	MUC2
HSCHR17_4_CTG4	39190263	39191234	KRTAP1-3
HSCHR17_4_CTG4	39196936	39197838	KRTAP1-1
6	53132196	53213947	ELOVL5
HSCHR6_MHC_DBB	33150329	33152518	HSD17B8
16	30116131	30125177	GDPD3
X	21724090	21776281	SMPX
6	38136227	38607924	BTBD9
17	40731531	40762641	FAM134C
2	113670548	113676459	IL37
HSCHR6_MHC_COX	31900979	31907413	CFB
9	131644391	131680318	LRRC8A
X	21857754	21903542	MBTPS2
7	43966037	43995735	UBE2D4
5	130759614	130970929	RAPGEF6
2	27255778	27264563	TMEM214
9	33025209	33039905	DNAJA1
12	120565007	120632513	GCN1L1
10	103892787	103910082	PPRC1
HG306_PATCH	113185251	113254266	TTC12
10	92631473	92668312	RPP30
1	209959036	209979465	IRF6
2	219135115	219211516	PNKD
15	67835047	68099461	MAP2K5
14	100204030	100408397	EML1
10	135093135	135125841	TUBGCP2
6	17393447	17558023	CAP2
HSCHR17_4_CTG4	39221598	39222361	KRTAP2-4
11	67118248	67124443	POLD4
12	56075330	56078395	METTL7B
20	853296	896977	ANGPT4
7	99704693	99717464	TAF6
8	19759228	19824769	LPL
10	90424198	90438571	LIPF
10	95753746	96092580	PLCE1
1	150969025	150980851	FAM63A
12	56915713	56984745	RBMS2
11	67131639	67141648	CLCF1
1	210001352	210030910	DIEXF
6	108362613	108487058	OSTM1
2	32090129	32236299	MEMO1
4	113206665	113363776	ALPK1
19	9638667	9649303	ZNF426
X	21958691	22025798	SMS
22	31677579	31688520	PIK3IP1
13	41885341	41951166	NAA16
10	72058729	72142382	LRRC20
21	42733870	42781317	MX2
10	78629359	79398353	KCNMA1
11	61066923	61110068	DDB1
HSCHR6_MHC_DBB	33154182	33158409	RING1
HG388_HG400_PATCH	111783459	111797594	HSPB2-C11orf52
10	27035522	27150016	ABI1
14	65381079	65411309	CHURC1
14	35591052	35743271	KIAA0391
HSCHR6_MHC_APD	32052787	32065237	TNXB
2	27714750	27718112	FNDC4
12	56546040	56553431	MYL6B
5	70220768	70249769	SMN1
9	33041762	33076665	SMU1
16	1832902	1839192	NUBP2
19	48684027	48759203	CARD8
HSCHR6_MHC_COX	33178689	33187788	PFDN6
HSCHR6_MHC_QBL	30700508	30701863	IER3
10	127524906	127585005	DHX32
11	112097088	112140678	PTS
20	1093906	1160596	PSMF1
19	45165545	45187631	CEACAM19
HG388_HG400_PATCH	111797867	111893307	DIXDC1
5	159848829	159855748	PTTG1
11	67159176	67165881	RAD9A
2	204192942	204312446	ABI2
17	61822610	61853711	CCDC47
4	177241115	177253396	SPCS3
1	53068044	53074723	GPX7
15	43398423	43513481	EPB42
6	169615875	169654139	THBS2
5	32124810	32174456	GOLPH3
10	30722866	30750762	MAP3K8
22	31721790	31742218	PATZ1
18	31158579	31331156	ASXL3
HSCHR6_MHC_DBB	33195972	33217749	VPS52
3	183533664	183543382	MAP6D1
4	177604689	177713881	VEGFC
7	148700154	148725733	PDIA4
2	113730780	113743242	IL36G
17	47787694	47866542	FAM117A
3	133502877	133544616	SRPRB
15	20587869	20711433	HERC2P3
19	19734477	19739739	LPAR2
1	53152508	53164038	COA7
6	42018251	42055199	TAF8
16	30125426	30134827	MAPK3
2	45878484	46415129	PRKCE
12	89741009	89747048	DUSP6
20	1161205	1166059	TMEM74B
17	49707674	50237377	CA10
10	72164135	72188374	EIF4EBP2
6	108487262	108510013	NR2E1
X	153665266	153671814	GDI1
9	131707809	131709898	DOLK
9	33104080	33167354	B4GALT1
3	179065480	179112719	MFN1
16	69221032	69342955	SNTB2
17	72270386	72311023	DNAI2
21	42792231	42831141	MX1
15	34633917	34635378	NOP10
1	1270656	1284730	DVL1
12	71031853	71314623	PTPRR
16	1840414	1844972	IGFALS
4	76503215	76555900	CDKL2
22	31795509	31924726	DRG1
HSCHR6_MHC_APD	32132559	32151099	PPT2
20	1206700	1277065	RAD21L1
3	118892364	118924000	UPK1B
20	12989627	13147411	SPTLC3
17	73131343	73164376	HN1
11	6280966	6293357	CCKBR
X	22050559	22269427	PHEX
8	20002366	20040717	SLC18A1
6	31765173	31774761	LSM2
9	131709978	131769375	NUP188
22	20067755	20099400	DGCR8
11	112831997	113149158	NCAM1
6	169857307	170102159	WDR27
14	78183942	78227550	SNW1
12	56078352	56109827	ITGA7
17	46210802	46507637	SKAP1
19	19740285	19754476	GMIP
15	43415477	43477344	TMEM62
10	72357104	72362531	PRF1
9	33218363	33248565	SPINK4
5	159990127	160279221	ATP10B
3	9958758	9975314	IL17RC
5	36876861	37066515	NIPBL
20	1246960	1289972	SNPH
10	118380465	118404654	PNLIPRP2
15	34651106	34659479	LPCAT4
16	1845621	1877195	HAGH
13	42031695	42045018	RGCC
19	45250962	45263301	BCL3
2	190611386	190627953	OSGEPL1
17	8191081	8198661	SLC25A35
10	123748689	124014060	TACC2
